ITEM_MAT_LIQUID_001,Clean Water
ITEM_EFF_BUFF_RESERVE_17,
ITEM_EFF_BUFF_RESERVE_18,
ITEM_EFF_BUFF_RESERVE_19,
ITEM_EFF_BUFF_RESERVE_20,
ITEM_EFF_BUFF_RESERVE_21,
ITEM_EFF_BUFF_RESERVE_22,
ITEM_EFF_BUFF_RESERVE_23,
ITEM_EFF_BUFF_RESERVE_24,
ITEM_EFF_BUFF_RESERVE_25,
ITEM_EFF_BUFF_RESERVE_26,
ITEM_EFF_BUFF_RESERVE_27,
ITEM_EFF_BUFF_RESERVE_28,
ITEM_EFF_BUFF_RESERVE_29,
ITEM_EFF_BUFF_RESERVE_30,
ITEM_EFF_GENERAL_BUFF_01,ATK Up S
ITEM_EFF_GENERAL_BUFF_02,ATK Up M
ITEM_EFF_GENERAL_BUFF_03,ATK Up L
ITEM_EFF_GENERAL_BUFF_04,DEF Up S
ITEM_EFF_GENERAL_BUFF_05,DEF Up M
ITEM_EFF_GENERAL_BUFF_06,DEF Up L
ITEM_EFF_GENERAL_BUFF_07,SPD Up S
ITEM_EFF_GENERAL_BUFF_08,SPD Up M
ITEM_EFF_GENERAL_BUFF_09,SPD Up L
ITEM_EFF_GENERAL_BUFF_10,All Stats Up S
ITEM_EFF_GENERAL_BUFF_11,All Stats Up M
ITEM_EFF_GENERAL_BUFF_12,All Stats Up L
ITEM_EFF_GENERAL_BUFF_13,Accuracy Up S
ITEM_EFF_GENERAL_BUFF_14,Accuracy Up M
ITEM_EFF_GENERAL_BUFF_15,Accuracy Up L
ITEM_EFF_GENERAL_BUFF_16,Evasion Up S
ITEM_EFF_GENERAL_BUFF_17,Evasion Up M
ITEM_EFF_GENERAL_BUFF_18,Evasion Up L
ITEM_EFF_GENERAL_BUFF_19,Critical Rate Up S
ITEM_EFF_GENERAL_BUFF_20,Critical Rate Up M
ITEM_EFF_GENERAL_BUFF_21,Critical Rate Up L
ITEM_EFF_GENERAL_BUFF_25,Energy Surge S
ITEM_EFF_GENERAL_BUFF_26,Energy Surge M
ITEM_EFF_GENERAL_BUFF_27,Energy Surge L
ITEM_EFF_GENERAL_BUFF_RESERVE_01,
ITEM_EFF_GENERAL_BUFF_RESERVE_02,
ITEM_EFF_GENERAL_BUFF_RESERVE_03,
ITEM_EFF_GENERAL_BUFF_RESERVE_04,
ITEM_EFF_GENERAL_BUFF_RESERVE_05,
ITEM_EFF_GENERAL_BUFF_RESERVE_06,
ITEM_EFF_GENERAL_BUFF_RESERVE_07,
ITEM_EFF_GENERAL_BUFF_RESERVE_08,
ITEM_EFF_GENERAL_BUFF_RESERVE_09,
ITEM_EFF_GENERAL_BUFF_RESERVE_10,
ITEM_EFF_GENERAL_BUFF_RESERVE_11,
ITEM_EFF_GENERAL_BUFF_RESERVE_12,
ITEM_EFF_GENERAL_BUFF_RESERVE_13,
ITEM_EFF_GENERAL_BUFF_RESERVE_14,
ITEM_EFF_GENERAL_BUFF_RESERVE_15,
ITEM_EFF_GENERAL_BUFF_RESERVE_16,
ITEM_EFF_GENERAL_BUFF_RESERVE_17,
ITEM_EFF_GENERAL_BUFF_RESERVE_18,
ITEM_EFF_GENERAL_BUFF_RESERVE_19,
ITEM_EFF_GENERAL_BUFF_RESERVE_20,
ITEM_EFF_THORNS_EMBRACE_01_01,Constrict Sense
ITEM_EFF_THORNS_EMBRACE_01_02,Constrict Spirit
ITEM_EFF_THORNS_EMBRACE_01_03,Constrict Freedom
ITEM_EFF_POISON_SMOKE_01_01,Confusing Smoke
ITEM_EFF_POISON_SMOKE_01_02,Distorting Smoke
ITEM_EFF_POISON_SMOKE_01_03,Choking Smog
ITEM_EFF_HEROIC_GEIST_01_01,Warrior Soul
ITEM_EFF_HEROIC_GEIST_01_02,Brave Soul
ITEM_EFF_HEROIC_GEIST_01_03,Hero's Soul
ITEM_EFF_DEBUFF_RESERVE_01,
ITEM_EFF_DEBUFF_RESERVE_02,
ITEM_EFF_DEBUFF_RESERVE_03,
ITEM_EFF_DEBUFF_RESERVE_04,
ITEM_EFF_DEBUFF_RESERVE_05,
ITEM_EFF_DEBUFF_RESERVE_06,
ITEM_EFF_DEBUFF_RESERVE_07,
ITEM_EFF_DEBUFF_RESERVE_08,
ITEM_EFF_DEBUFF_RESERVE_09,
ITEM_EFF_DEBUFF_RESERVE_10,
ITEM_EFF_DEBUFF_RESERVE_11,
ITEM_EFF_DEBUFF_RESERVE_12,
ITEM_EFF_DEBUFF_RESERVE_13,
ITEM_EFF_DEBUFF_RESERVE_14,
ITEM_EFF_DEBUFF_RESERVE_15,
ITEM_EFF_DEBUFF_RESERVE_16,
ITEM_EFF_DEBUFF_RESERVE_17,
ITEM_EFF_DEBUFF_RESERVE_18,
ITEM_EFF_DEBUFF_RESERVE_19,
ITEM_EFF_DEBUFF_RESERVE_20,
ITEM_EFF_GENERAL_DEBUFF_01,ATK Down S
ITEM_EFF_GENERAL_DEBUFF_02,ATK Down M
ITEM_EFF_GENERAL_DEBUFF_03,ATK Down L
ITEM_EFF_GENERAL_DEBUFF_04,DEF Down S
ITEM_EFF_GENERAL_DEBUFF_05,DEF Down M
ITEM_EFF_GENERAL_DEBUFF_06,DEF Down L
ITEM_EFF_GENERAL_DEBUFF_07,SPD Down S
ITEM_EFF_GENERAL_DEBUFF_08,SPD Down M
ITEM_EFF_GENERAL_DEBUFF_09,SPD Down L
ITEM_EFF_GENERAL_DEBUFF_10,All Stats Down S
ITEM_EFF_GENERAL_DEBUFF_11,All Stats Down M
ITEM_EFF_GENERAL_DEBUFF_12,All Stats Down L
ITEM_EFF_GENERAL_DEBUFF_13,Inflict Sleep S
ITEM_EFF_GENERAL_DEBUFF_14,Inflict Sleep M
ITEM_EFF_GENERAL_DEBUFF_15,Inflict Sleep L
ITEM_EFF_GENERAL_DEBUFF_16,Inflict Poison S
ITEM_EFF_GENERAL_DEBUFF_17,Inflict Poison M
ITEM_EFF_GENERAL_DEBUFF_18,Inflict Poison L
ITEM_EFF_GENERAL_DEBUFF_19,Inflict Slow S
ITEM_EFF_GENERAL_DEBUFF_20,Inflict Slow M
ITEM_EFF_GENERAL_DEBUFF_21,Inflict Slow L
ITEM_EFF_GENERAL_DEBUFF_22,Inflict Curse S
ITEM_EFF_GENERAL_DEBUFF_23,Inflict Curse M
ITEM_EFF_GENERAL_DEBUFF_24,Inflict Curse L
ITEM_EFF_GENERAL_DEBUFF_25,Inflict Blind S
ITEM_EFF_GENERAL_DEBUFF_26,Inflict Blind M
ITEM_EFF_GENERAL_DEBUFF_27,Inflict Blind L
ITEM_EFF_GENERAL_DEBUFF_28,Inflict Seal S
ITEM_EFF_GENERAL_DEBUFF_29,Inflict Seal M
ITEM_EFF_GENERAL_DEBUFF_30,Inflict Seal L
ITEM_EFF_GENERAL_DEBUFF_31,Inflict Envenom S
ITEM_EFF_GENERAL_DEBUFF_32,Inflict Envenom M
ITEM_EFF_GENERAL_DEBUFF_33,Inflict Envenom L
ITEM_EFF_GENERAL_DEBUFF_34,Inflict Burn S
ITEM_EFF_GENERAL_DEBUFF_35,Inflict Burn M
ITEM_EFF_GENERAL_DEBUFF_36,Inflict Burn L
ITEM_EFF_GENERAL_DEBUFF_37,Inflict Frostbite S
ITEM_EFF_GENERAL_DEBUFF_38,Inflict Frostbite M
ITEM_EFF_GENERAL_DEBUFF_39,Inflict Frostbite L
ITEM_EFF_GENERAL_DEBUFF_40,Inflict Paralyze S
ITEM_EFF_GENERAL_DEBUFF_41,Inflict Paralyze M
ITEM_EFF_GENERAL_DEBUFF_42,Inflict Paralyze L
ITEM_EFF_GENERAL_DEBUFF_46,Fire Vulnerability
ITEM_EFF_GENERAL_DEBUFF_47,Ice Vulnerability
ITEM_EFF_GENERAL_DEBUFF_48,Lightning Vulnerability
ITEM_EFF_GENERAL_DEBUFF_49,Wind Vulnerability
ITEM_EFF_GENERAL_DEBUFF_50,Enhanced Stun S
ITEM_EFF_GENERAL_DEBUFF_51,Enhanced Stun M
ITEM_EFF_GENERAL_DEBUFF_52,Enhanced Stun L
ITEM_EFF_GENERAL_DEBUFF_53,Enhanced Stun XL
ITEM_EFF_GENERAL_DEBUFF_RESERVE_01,Grievous Wound S
ITEM_EFF_GENERAL_DEBUFF_RESERVE_02,Grievous Wound M
ITEM_EFF_GENERAL_DEBUFF_RESERVE_03,Grievous Wound L
ITEM_EFF_GENERAL_DEBUFF_RESERVE_04,
ITEM_EFF_GENERAL_DEBUFF_RESERVE_05,
ITEM_EFF_GENERAL_DEBUFF_RESERVE_06,
ITEM_EFF_GENERAL_DEBUFF_RESERVE_07,
ITEM_EFF_GENERAL_DEBUFF_RESERVE_08,
ITEM_EFF_GENERAL_DEBUFF_RESERVE_09,
ITEM_EFF_GENERAL_DEBUFF_RESERVE_10,
ITEM_EFF_GENERAL_DEBUFF_RESERVE_11,
ITEM_EFF_GENERAL_DEBUFF_RESERVE_12,
ITEM_EFF_GENERAL_DEBUFF_RESERVE_13,
ITEM_EFF_GENERAL_DEBUFF_RESERVE_14,
ITEM_EFF_GENERAL_DEBUFF_RESERVE_15,
ITEM_EFF_GENERAL_DEBUFF_RESERVE_16,
ITEM_EFF_GENERAL_DEBUFF_RESERVE_17,
ITEM_EFF_GENERAL_DEBUFF_RESERVE_18,
ITEM_EFF_GENERAL_DEBUFF_RESERVE_19,
ITEM_EFF_GENERAL_DEBUFF_RESERVE_20,
ITEM_EFF_USE_COST_01,
ITEM_EFF_USE_COST_02,
ITEM_EFF_USE_COST_03,
ITEM_EFF_USE_COST_04,
ITEM_EFF_USE_COST_05,
ITEM_EFF_USE_COST_06,
ITEM_EFF_USE_COST_07,
ITEM_EFF_USE_COST_08,
ITEM_EFF_USE_COST_09,
ITEM_EFF_USE_COST_10,
ITEM_EFF_USE_COST_11,
ITEM_EFF_USE_COST_12,
ITEM_EFF_USE_COST_13,
ITEM_EFF_USE_COST_14,
ITEM_EFF_USE_COST_15,
ITEM_EFF_USE_COST_16,
ITEM_EFF_USE_COST_17,
ITEM_EFF_USE_COST_18,
ITEM_EFF_USE_COST_19,
ITEM_EFF_USE_COST_20,
ITEM_EFF_USE_ETC_01,
ITEM_EFF_USE_ETC_02,
ITEM_EFF_USE_ETC_03,
ITEM_EFF_USE_ETC_04,
ITEM_EFF_USE_ETC_05,
ITEM_EFF_USE_ETC_06,
ITEM_EFF_USE_ETC_07,
ITEM_EFF_USE_ETC_08,
ITEM_EFF_USE_ETC_09,
ITEM_EFF_USE_ETC_10,
ITEM_EFF_USE_ETC_11,
ITEM_EFF_USE_ETC_12,
ITEM_EFF_USE_ETC_13,
ITEM_EFF_USE_ETC_14,
ITEM_EFF_USE_ETC_15,
ITEM_EFF_USE_ETC_16,
ITEM_EFF_USE_ETC_17,
ITEM_EFF_USE_ETC_18,
ITEM_EFF_USE_ETC_19,
ITEM_EFF_USE_ETC_20,
ITEM_EFF_FIELD_COLLECT_01,Cut
ITEM_EFF_FIELD_COLLECT_02,Chop
ITEM_EFF_FIELD_COLLECT_03,Crush
ITEM_EFF_FIELD_COLLECT_04,Explode
ITEM_EFF_FIELD_COLLECT_05,Catch Fish
ITEM_EFF_FIELD_COLLECT_06,Catch Bugs
ITEM_EFF_FIELD_COLLECT_07,Gathering Up S
ITEM_EFF_FIELD_COLLECT_08,Gathering Up M
ITEM_EFF_FIELD_COLLECT_09,Gathering Up L
ITEM_EFF_FIELD_COLLECT_10,
ITEM_EFF_FIELD_COLLECT_11,
ITEM_EFF_FIELD_COLLECT_12,
ITEM_EFF_FIELD_COLLECT_13,
ITEM_EFF_FIELD_COLLECT_14,
ITEM_EFF_FIELD_COLLECT_15,
ITEM_EFF_FIELD_COLLECT_16,
ITEM_EFF_FIELD_COLLECT_17,
ITEM_EFF_FIELD_COLLECT_18,
ITEM_EFF_FIELD_COLLECT_19,
ITEM_EFF_FIELD_COLLECT_20,
ITEM_EFF_FIELD_COLLECT_21,
ITEM_EFF_FIELD_COLLECT_22,
ITEM_EFF_FIELD_COLLECT_23,
ITEM_EFF_FIELD_COLLECT_24,
ITEM_EFF_FIELD_COLLECT_25,
ITEM_EFF_FIELD_COLLECT_26,
ITEM_EFF_FIELD_COLLECT_27,
ITEM_EFF_FIELD_COLLECT_28,
ITEM_EFF_FIELD_COLLECT_29,
ITEM_EFF_FIELD_COLLECT_30,
ITEM_EFF_FIELD_COLLECT_RESERVE_01,
ITEM_EFF_FIELD_COLLECT_RESERVE_02,
ITEM_EFF_FIELD_COLLECT_RESERVE_03,
ITEM_EFF_FIELD_COLLECT_RESERVE_04,
ITEM_EFF_FIELD_COLLECT_RESERVE_05,
ITEM_EFF_FIELD_COLLECT_RESERVE_06,
ITEM_EFF_FIELD_COLLECT_RESERVE_07,
ITEM_EFF_FIELD_COLLECT_RESERVE_08,
ITEM_EFF_FIELD_COLLECT_RESERVE_09,
ITEM_EFF_FIELD_COLLECT_RESERVE_10,
ITEM_EFF_FIELD_COLLECT_RESERVE_11,
ITEM_EFF_FIELD_COLLECT_RESERVE_12,
ITEM_EFF_FIELD_COLLECT_RESERVE_13,
ITEM_EFF_FIELD_COLLECT_RESERVE_14,
ITEM_EFF_FIELD_COLLECT_RESERVE_15,
ITEM_EFF_FIELD_COLLECT_RESERVE_16,
ITEM_EFF_FIELD_COLLECT_RESERVE_17,
ITEM_EFF_FIELD_COLLECT_RESERVE_18,
ITEM_EFF_FIELD_COLLECT_RESERVE_19,
ITEM_EFF_FIELD_COLLECT_RESERVE_20,
ITEM_EFF_FIELD_EQUIP_01,Eye for Materials
ITEM_EFF_FIELD_EQUIP_02,Monster Seeker
ITEM_EFF_FIELD_EQUIP_03,Treasure Hunter
ITEM_EFF_FIELD_EQUIP_04,Movement Up S
ITEM_EFF_FIELD_EQUIP_05,Movement Up M
ITEM_EFF_FIELD_EQUIP_06,Movement Up L
ITEM_EFF_FIELD_EQUIP_07,Lightweight
ITEM_EFF_FIELD_EQUIP_08,Wind Rider
ITEM_EFF_FIELD_EQUIP_09,Basket Size S
ITEM_EFF_FIELD_EQUIP_10,Basket Size M
ITEM_EFF_FIELD_EQUIP_11,Basket Size L
ITEM_EFF_FIELD_EQUIP_12,Basket Size XL
ITEM_EFF_FIELD_EQUIP_13,Better Materials S
ITEM_EFF_FIELD_EQUIP_14,Better Materials M
ITEM_EFF_FIELD_EQUIP_15,Better Materials L
ITEM_EFF_FIELD_EQUIP_16,Better Materials XL
ITEM_EFF_FIELD_EQUIP_17,Special Materials S
ITEM_EFF_FIELD_EQUIP_18,Special Materials M
ITEM_EFF_FIELD_EQUIP_19,Special Materials L
ITEM_EFF_FIELD_EQUIP_20,Special Materials XL
ITEM_EFF_FIELD_EQUIP_RESERVE_01,
ITEM_EFF_FIELD_EQUIP_RESERVE_02,Trait Level Up S
ITEM_EFF_FIELD_EQUIP_RESERVE_03,Trait Level Up M
ITEM_EFF_FIELD_EQUIP_RESERVE_04,Trait Level Up L
ITEM_EFF_FIELD_EQUIP_RESERVE_05,Trait Level Up XL
ITEM_EFF_FIELD_EQUIP_RESERVE_06,Rare Materials S
ITEM_EFF_FIELD_EQUIP_RESERVE_07,Rare Materials M
ITEM_EFF_FIELD_EQUIP_RESERVE_08,Rare Materials L
ITEM_EFF_FIELD_EQUIP_RESERVE_09,Rare Materials XL
ITEM_EFF_FIELD_EQUIP_RESERVE_10,Monsters & Treasure
ITEM_EFF_FIELD_EQUIP_RESERVE_11,
ITEM_EFF_FIELD_EQUIP_RESERVE_12,
ITEM_EFF_FIELD_EQUIP_RESERVE_13,
ITEM_EFF_FIELD_EQUIP_RESERVE_14,
ITEM_EFF_FIELD_EQUIP_RESERVE_15,
ITEM_EFF_FIELD_EQUIP_RESERVE_16,
ITEM_EFF_FIELD_EQUIP_RESERVE_17,
ITEM_EFF_FIELD_EQUIP_RESERVE_18,
ITEM_EFF_FIELD_EQUIP_RESERVE_19,
ITEM_EFF_FIELD_EQUIP_RESERVE_20,
ITEM_EFF_EQUIP_WEP_PC01_01_01,Tiny Traveler S
ITEM_EFF_EQUIP_WEP_PC01_01_02,Tiny Traveler M
ITEM_EFF_EQUIP_WEP_PC01_01_03,Tiny Traveler L
ITEM_EFF_EQUIP_WEP_PC01_01_04,Tiny Traveler XL
ITEM_EFF_EQUIP_WEP_PC01_02_01,Sun Lamp S
ITEM_EFF_EQUIP_WEP_PC01_02_02,Sun Lamp M
ITEM_EFF_EQUIP_WEP_PC01_02_03,Sun Lamp L
ITEM_EFF_EQUIP_WEP_PC01_02_04,Sun Lamp XL
ITEM_EFF_EQUIP_WEP_PC01_03_01,Shining Mana S
ITEM_EFF_EQUIP_WEP_PC01_03_02,Shining Mana M
ITEM_EFF_EQUIP_WEP_PC01_03_03,Shining Mana L
ITEM_EFF_EQUIP_WEP_PC01_03_04,Shining Mana XL
ITEM_EFF_EQUIP_WEP_PC01_04_01,Lost Magic S
ITEM_EFF_EQUIP_WEP_PC01_04_02,Lost Magic M
ITEM_EFF_EQUIP_WEP_PC01_04_03,Lost Magic L
ITEM_EFF_EQUIP_WEP_PC01_04_04,Lost Magic XL
ITEM_EFF_EQUIP_WEP_PC01_05_01,Celestial Explorer S
ITEM_EFF_EQUIP_WEP_PC01_05_02,Celestial Explorer M
ITEM_EFF_EQUIP_WEP_PC01_05_03,Celestial Explorer L
ITEM_EFF_EQUIP_WEP_PC01_05_04,Celestial Explorer XL
ITEM_EFF_EQUIP_WEP_PC02_01_01,Musician in Training S
ITEM_EFF_EQUIP_WEP_PC02_01_02,Musician in Training M
ITEM_EFF_EQUIP_WEP_PC02_01_03,Musician in Training L
ITEM_EFF_EQUIP_WEP_PC02_01_04,Musician in Training XL
ITEM_EFF_EQUIP_WEP_PC02_02_01,Dusk Echo S
ITEM_EFF_EQUIP_WEP_PC02_02_02,Dusk Echo M
ITEM_EFF_EQUIP_WEP_PC02_02_03,Dusk Echo L
ITEM_EFF_EQUIP_WEP_PC02_02_04,Dusk Echo XL
ITEM_EFF_EQUIP_WEP_PC02_03_01,Pure Snow S
ITEM_EFF_EQUIP_WEP_PC02_03_02,Pure Snow M
ITEM_EFF_EQUIP_WEP_PC02_03_03,Pure Snow L
ITEM_EFF_EQUIP_WEP_PC02_03_04,Pure Snow XL
ITEM_EFF_EQUIP_WEP_PC02_04_01,Solo S
ITEM_EFF_EQUIP_WEP_PC02_04_02,Solo M
ITEM_EFF_EQUIP_WEP_PC02_04_03,Solo L
ITEM_EFF_EQUIP_WEP_PC02_04_04,Solo XL
ITEM_EFF_EQUIP_WEP_PC02_05_01,Stellar Timbre S
ITEM_EFF_EQUIP_WEP_PC02_05_02,Stellar Timbre M
ITEM_EFF_EQUIP_WEP_PC02_05_03,Stellar Timbre L
ITEM_EFF_EQUIP_WEP_PC02_05_04,Stellar Timbre XL
ITEM_EFF_EQUIP_WEP_PC03_01_01,Mercenary Skills S
ITEM_EFF_EQUIP_WEP_PC03_01_02,Mercenary Skills M
ITEM_EFF_EQUIP_WEP_PC03_01_03,Mercenary Skills L
ITEM_EFF_EQUIP_WEP_PC03_01_04,Mercenary Skills XL
ITEM_EFF_EQUIP_WEP_PC03_02_01,Heavy Greatsword S
ITEM_EFF_EQUIP_WEP_PC03_02_02,Heavy Greatsword M
ITEM_EFF_EQUIP_WEP_PC03_02_03,Heavy Greatsword L
ITEM_EFF_EQUIP_WEP_PC03_02_04,Heavy Greatsword XL
ITEM_EFF_EQUIP_WEP_PC03_03_01,Vanguard Wind S
ITEM_EFF_EQUIP_WEP_PC03_03_02,Vanguard Wind M
ITEM_EFF_EQUIP_WEP_PC03_03_03,Vanguard Wind L
ITEM_EFF_EQUIP_WEP_PC03_03_04,Vanguard Wind XL
ITEM_EFF_EQUIP_WEP_PC03_04_01,Demon Edge S
ITEM_EFF_EQUIP_WEP_PC03_04_02,Demon Edge M
ITEM_EFF_EQUIP_WEP_PC03_04_03,Demon Edge L
ITEM_EFF_EQUIP_WEP_PC03_04_04,Demon Edge XL
ITEM_EFF_EQUIP_WEP_PC03_05_01,Omni-Guardian S
ITEM_EFF_EQUIP_WEP_PC03_05_02,Omni-Guardian M
ITEM_EFF_EQUIP_WEP_PC03_05_03,Omni-Guardian L
ITEM_EFF_EQUIP_WEP_PC03_05_04,Omni-Guardian XL
ITEM_EFF_EQUIP_WEP_PC04_01_01,Power Arisen S
ITEM_EFF_EQUIP_WEP_PC04_01_02,Power Arisen M
ITEM_EFF_EQUIP_WEP_PC04_01_03,Power Arisen L
ITEM_EFF_EQUIP_WEP_PC04_01_04,Power Arisen XL
ITEM_EFF_EQUIP_WEP_PC04_02_01,Resonance S
ITEM_EFF_EQUIP_WEP_PC04_02_02,Resonance M
ITEM_EFF_EQUIP_WEP_PC04_02_03,Resonance L
ITEM_EFF_EQUIP_WEP_PC04_02_04,Resonance XL
ITEM_EFF_EQUIP_WEP_PC04_03_01,Destructive Strike S
ITEM_EFF_EQUIP_WEP_PC04_03_02,Destructive Strike M
ITEM_EFF_EQUIP_WEP_PC04_03_03,Destructive Strike L
ITEM_EFF_EQUIP_WEP_PC04_03_04,Destructive Strike XL
ITEM_EFF_EQUIP_WEP_PC04_04_01,Divine Rage S
ITEM_EFF_EQUIP_WEP_PC04_04_02,Divine Rage M
ITEM_EFF_EQUIP_WEP_PC04_04_03,Divine Rage L
ITEM_EFF_EQUIP_WEP_PC04_04_04,Divine Rage XL
ITEM_EFF_EQUIP_WEP_PC04_05_01,Hero's Medal S
ITEM_EFF_EQUIP_WEP_PC04_05_02,Hero's Medal M
ITEM_EFF_EQUIP_WEP_PC04_05_03,Hero's Medal L
ITEM_EFF_EQUIP_WEP_PC04_05_04,Hero's Medal XL
ITEM_EFF_EQUIP_WEP_PC05_01_01,Breezy Wanderer S
ITEM_EFF_EQUIP_WEP_PC05_01_02,Breezy Wanderer M
ITEM_EFF_EQUIP_WEP_PC05_01_03,Breezy Wanderer L
ITEM_EFF_EQUIP_WEP_PC05_01_04,Breezy Wanderer XL
ITEM_EFF_EQUIP_WEP_PC05_02_01,Forest Guardian S
ITEM_EFF_EQUIP_WEP_PC05_02_02,Forest Guardian M
ITEM_EFF_EQUIP_WEP_PC05_02_03,Forest Guardian L
ITEM_EFF_EQUIP_WEP_PC05_02_04,Forest Guardian XL
ITEM_EFF_EQUIP_WEP_PC05_03_01,Spiritual Training S
ITEM_EFF_EQUIP_WEP_PC05_03_02,Spiritual Training M
ITEM_EFF_EQUIP_WEP_PC05_03_03,Spiritual Training L
ITEM_EFF_EQUIP_WEP_PC05_03_04,Spiritual Training XL
ITEM_EFF_EQUIP_WEP_PC05_04_01,Nature's Guard S
ITEM_EFF_EQUIP_WEP_PC05_04_02,Nature's Guard M
ITEM_EFF_EQUIP_WEP_PC05_04_03,Nature's Guard L
ITEM_EFF_EQUIP_WEP_PC05_04_04,Nature's Guard XL
ITEM_EFF_EQUIP_WEP_PC05_05_01,Truth's Guide S
ITEM_EFF_EQUIP_WEP_PC05_05_02,Truth's Guide M
ITEM_EFF_EQUIP_WEP_PC05_05_03,Truth's Guide L
ITEM_EFF_EQUIP_WEP_PC05_05_04,Truth's Guide XL
ITEM_EFF_EQUIP_WEP_PC06_01_01,Sharp Edge S
ITEM_EFF_EQUIP_WEP_PC06_01_02,Sharp Edge M
ITEM_EFF_EQUIP_WEP_PC06_01_03,Sharp Edge L
ITEM_EFF_EQUIP_WEP_PC06_01_04,Sharp Edge XL
ITEM_EFF_EQUIP_WEP_PC06_02_01,Warrior's Creed S
ITEM_EFF_EQUIP_WEP_PC06_02_02,Warrior's Creed M
ITEM_EFF_EQUIP_WEP_PC06_02_03,Warrior's Creed L
ITEM_EFF_EQUIP_WEP_PC06_02_04,Warrior's Creed XL
ITEM_EFF_EQUIP_WEP_PC06_03_01,Fierce Fang S
ITEM_EFF_EQUIP_WEP_PC06_03_02,Fierce Fang M
ITEM_EFF_EQUIP_WEP_PC06_03_03,Fierce Fang L
ITEM_EFF_EQUIP_WEP_PC06_03_04,Fierce Fang XL
ITEM_EFF_EQUIP_WEP_PC06_04_01,Wind Blade S
ITEM_EFF_EQUIP_WEP_PC06_04_02,Wind Blade M
ITEM_EFF_EQUIP_WEP_PC06_04_03,Wind Blade L
ITEM_EFF_EQUIP_WEP_PC06_04_04,Wind Blade XL
ITEM_EFF_EQUIP_WEP_PC06_05_01,Elemental Song S
ITEM_EFF_EQUIP_WEP_PC06_05_02,Elemental Song M
ITEM_EFF_EQUIP_WEP_PC06_05_03,Elemental Song L
ITEM_EFF_EQUIP_WEP_PC06_05_04,Elemental Song XL
ITEM_EFF_EQUIP_WEP_DLC01_01_01,
ITEM_EFF_EQUIP_WEP_DLC01_01_02,
ITEM_EFF_EQUIP_WEP_DLC01_01_03,
ITEM_EFF_EQUIP_WEP_DLC01_01_04,
ITEM_EFF_EQUIP_WEP_DLC01_02_01,
ITEM_EFF_EQUIP_WEP_DLC01_02_02,
ITEM_EFF_EQUIP_WEP_DLC01_02_03,
ITEM_EFF_EQUIP_WEP_DLC01_02_04,
ITEM_EFF_EQUIP_WEP_DLC01_03_01,
ITEM_EFF_EQUIP_WEP_DLC01_03_02,
ITEM_EFF_EQUIP_WEP_DLC01_03_03,
ITEM_EFF_EQUIP_WEP_DLC01_03_04,
ITEM_EFF_EQUIP_WEP_DLC01_04_01,
ITEM_EFF_EQUIP_WEP_DLC01_04_02,
ITEM_EFF_EQUIP_WEP_DLC01_04_03,
ITEM_EFF_EQUIP_WEP_DLC01_04_04,
ITEM_EFF_EQUIP_WEP_DLC01_05_01,
ITEM_EFF_EQUIP_WEP_DLC01_05_02,
ITEM_EFF_EQUIP_WEP_DLC01_05_03,
ITEM_EFF_EQUIP_WEP_DLC01_05_04,
ITEM_EFF_EQUIP_WEP_DLC02_01_01,
ITEM_EFF_EQUIP_WEP_DLC02_01_02,
ITEM_EFF_EQUIP_WEP_DLC02_01_03,
ITEM_EFF_EQUIP_WEP_DLC02_01_04,
ITEM_EFF_EQUIP_WEP_DLC02_02_01,
ITEM_EFF_EQUIP_WEP_DLC02_02_02,
ITEM_EFF_EQUIP_WEP_DLC02_02_03,
ITEM_EFF_EQUIP_WEP_DLC02_02_04,
ITEM_EFF_EQUIP_WEP_DLC02_03_01,
ITEM_EFF_EQUIP_WEP_DLC02_03_02,
ITEM_EFF_EQUIP_WEP_DLC02_03_03,
ITEM_EFF_EQUIP_WEP_DLC02_03_04,
ITEM_EFF_EQUIP_WEP_DLC02_04_01,
ITEM_EFF_EQUIP_WEP_DLC02_04_02,
ITEM_EFF_EQUIP_WEP_DLC02_04_03,
ITEM_EFF_EQUIP_WEP_DLC02_04_04,
ITEM_EFF_EQUIP_WEP_DLC02_05_01,
ITEM_EFF_EQUIP_WEP_DLC02_05_02,
ITEM_EFF_EQUIP_WEP_DLC02_05_03,
ITEM_EFF_EQUIP_WEP_DLC02_05_04,
ITEM_EFF_EQUIP_WEP_DLC03_01_01,
ITEM_EFF_EQUIP_WEP_DLC03_01_02,
ITEM_EFF_EQUIP_WEP_DLC03_01_03,
ITEM_EFF_EQUIP_WEP_DLC03_01_04,
ITEM_EFF_EQUIP_WEP_DLC03_02_01,
ITEM_EFF_EQUIP_WEP_DLC03_02_02,
ITEM_EFF_EQUIP_WEP_DLC03_02_03,
ITEM_EFF_EQUIP_WEP_DLC03_02_04,
ITEM_EFF_EQUIP_WEP_DLC03_03_01,
ITEM_EFF_EQUIP_WEP_DLC03_03_02,
ITEM_EFF_EQUIP_WEP_DLC03_03_03,
ITEM_EFF_EQUIP_WEP_DLC03_03_04,
ITEM_EFF_EQUIP_WEP_DLC03_04_01,
ITEM_EFF_EQUIP_WEP_DLC03_04_02,
ITEM_EFF_EQUIP_WEP_DLC03_04_03,
ITEM_EFF_EQUIP_WEP_DLC03_04_04,
